BHID;FROM;TO;LITO;feglc;siglc;pglc;alglc;mnglc;pfglc;tiglc;mgglc;caglc;foglc;peso
CAP-FD00001;0;4.4;PI;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99
CAP-FD00001;4.4;14.4;HGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;4.42
CAP-FD00001;14.4;25.75;IGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
CAP-FD00001;25.75;36.95;IGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
CAP-FD00001;36.95;42.25;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
CAP-FD00001;42.25;53.6;IGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
CAP-FD00001;53.6;64.05;IGO;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
CAP-FD00001;64.05;73.55;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;73.55;83.8;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;83.8;93.1;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;93.1;103;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;103;113.35;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;113.35;123.95;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;123.95;133.7;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;133.7;143.4;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;143.4;153.65;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;153.65;163.2;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;163.2;174.2;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;174.2;184;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;184;193.8;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;193.8;203.5;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;203.5;214.4;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
CAP-FD00001;214.4;222.4;IC;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
CAP-FD00001;222.4;229.7;IC;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
