BHID,FROM,TO,LENGTH,CLV,CLM,CLI,feglc,siglc,pglc,alglc,mnglc,pfglc,tiglc,mgglc,caglc,foglc,peso,Indicador_Itabirito,Indicador_Hematita,Hematita_Itabirito,Divisao_Itabiritos
CAP-FD00001,0,4.4,4.4,HGOF,HGO?,PI,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,Ignorado,Ignorado
CAP-FD00001,4.4,14.4,10,HGOC,HGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00001,14.4,25.75,11.35,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00001,25.75,36.95,11.2,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00001,36.95,42.25,5.3,IN,IN,IN,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,42.25,53.6,11.35,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00001,53.6,64.05,10.45,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00001,64.05,73.55,9.5,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,73.55,83.8,10.25,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,83.8,93.1,9.3,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,93.1,103,9.9,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,103,113.35,10.35,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,113.35,123.95,10.6,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,123.95,133.7,9.75,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,133.7,143.4,9.7,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,143.4,153.65,10.25,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,153.65,163.2,9.55,IF,IF,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,163.2,174.2,11,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,174.2,184,9.8,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,184,193.8,9.8,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,193.8,203.5,9.7,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,203.5,214.4,10.9,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,214.4,222.4,8,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,222.4,229.7,7.3,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,229.7,240.45,10.75,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,240.45,251.15,10.7,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,251.15,261.95,10.8,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,261.95,272.2,10.25,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,272.2,283.45,11.25,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,283.45,291.65,8.2,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,291.65,300.1,8.45,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,300.1,311.25,11.15,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,311.25,322.05,10.8,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,322.05,334.5,12.45,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,334.5,347.45,12.95,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00001,347.45,360.1,12.65,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,0,7.8,7.8,CG,CG,CG,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.88,0,0,Canga,Canga
CAP-FD00002,7.8,15.45,7.65,CG,CG,CG,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.88,0,0,Canga,Canga
CAP-FD00002,15.45,25.4,9.95,HGOF,HGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00002,25.4,35.7,10.3,HGOF,HGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00002,35.7,44.35,8.65,HGOF,HGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00002,44.35,53.9,9.55,HGOF,HGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00002,53.9,63.65,9.75,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00002,63.65,73.45,9.8,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00002,73.45,83.1,9.65,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00002,83.1,92.8,9.7,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,92.8,102.35,9.55,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,102.35,110.75,8.4,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,110.75,119.25,8.5,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,119.25,128.45,9.2,IS,IC?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,128.45,138.7,10.25,IS,IC?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,138.7,151.4,12.7,IF,IF?,IF,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,151.4,165.2,13.8,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,165.2,174.9,9.7,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,174.9,184.05,9.15,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,184.05,193.1,9.05,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00002,193.1,203.1,10,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,0,12.95,12.95,CG,CG,CG,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.88,0,0,Canga,Canga
CAP-FD00003,12.95,23,10.05,IGOF,IGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00003,23,32.1,9.1,IGOF,IGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00003,32.1,42.2,10.1,IGOF,IGO?,IGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito_Superior
CAP-FD00003,42.2,52.9,10.7,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00003,52.9,63.2,10.3,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00003,63.2,73.65,10.45,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00003,73.65,85.25,11.6,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00003,85.25,94.9,9.65,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,94.9,107.6,12.7,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,107.6,117,9.4,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00003,117,125.35,8.35,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00003,125.35,135.15,9.8,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,135.15,146.2,11.05,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,146.2,157.35,11.15,IS,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,157.35,166.3,8.95,IF,IF?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,166.3,176.75,10.45,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,176.75,185.45,8.7,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,185.45,196.6,11.15,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,196.6,206.85,10.25,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,206.85,217.2,10.35,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,217.2,231.15,13.95,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,231.15,243.95,12.8,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00003,243.95,256.8,12.85,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,0,10.1,10.1,CG,CG,CG,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.88,0,0,Canga,Canga
CAP-FD00004,10.1,17.8,7.7,HGOF,HGO?,HGO,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.42,0,1,Hematita,Hematita
CAP-FD00004,17.8,31.25,13.45,IF,IF?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00004,31.25,35.85,4.6,IC,IC?,IC,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.19,1,0,Itabirito,Itabirito Inferior
CAP-FD00004,35.85,40.35,4.5,IGOC,IGO?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
CAP-FD00004,40.35,48.5,8.15,IC,IC?,IFR,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.47,1,0,Itabirito,Itabirito_Superior
